Angle;Sin;Cos;Tan
248;-0.93;-0.37;2.48
249;-0.93;-0.36;2.61
250;-0.94;-0.34;2.75
251;-0.95;-0.33;2.90
252;-0.95;-0.31;3.08
253;-0.96;-0.29;3.27
254;-0.96;-0.28;3.49
255;-0.97;-0.26;3.73
256;-0.97;-0.24;4.01
257;-0.97;-0.22;4.33
258;-0.98;-0.21;4.70
259;-0.98;-0.19;5.14
260;-0.98;-0.17;5.67
261;-0.99;-0.16;6.31
262;-0.99;-0.14;7.12
263;-0.99;-0.12;8.14
264;-0.99;-0.10;9.51
265;-1.00;-0.09;11.43
266;-1.00;-0.07;14.30
267;-1.00;-0.05;19.08
268;-1.00;-0.03;28.64
269;-1.00;-0.02;57.29
270;-1.00;-0.00;5443746451065123.00
271;-1.00;0.02;-57.29
272;-1.00;0.03;-28.64
273;-1.00;0.05;-19.08
274;-1.00;0.07;-14.30
275;-1.00;0.09;-11.43
276;-0.99;0.10;-9.51
277;-0.99;0.12;-8.14
278;-0.99;0.14;-7.12
279;-0.99;0.16;-6.31
280;-0.98;0.17;-5.67
281;-0.98;0.19;-5.14
282;-0.98;0.21;-4.70
283;-0.97;0.22;-4.33
284;-0.97;0.24;-4.01
285;-0.97;0.26;-3.73
286;-0.96;0.28;-3.49
287;-0.96;0.29;-3.27
288;-0.95;0.31;-3.08
289;-0.95;0.33;-2.90
290;-0.94;0.34;-2.75
291;-0.93;0.36;-2.61
292;-0.93;0.37;-2.48
293;-0.92;0.39;-2.36
294;-0.91;0.41;-2.25
295;-0.91;0.42;-2.14
296;-0.90;0.44;-2.05
297;-0.89;0.45;-1.96
298;-0.88;0.47;-1.88
299;-0.87;0.48;-1.80
300;-0.87;0.50;-1.73
301;-0.86;0.52;-1.66
302;-0.85;0.53;-1.60
303;-0.84;0.54;-1.54
304;-0.83;0.56;-1.48
305;-0.82;0.57;-1.43
306;-0.81;0.59;-1.38
307;-0.80;0.60;-1.33
308;-0.79;0.62;-1.28
309;-0.78;0.63;-1.23
310;-0.77;0.64;-1.19
311;-0.75;0.66;-1.15
312;-0.74;0.67;-1.11
313;-0.73;0.68;-1.07
314;-0.72;0.69;-1.04
315;-0.71;0.71;-1.00
316;-0.69;0.72;-0.97
317;-0.68;0.73;-0.93
318;-0.67;0.74;-0.90
319;-0.66;0.75;-0.87
320;-0.64;0.77;-0.84
321;-0.63;0.78;-0.81
322;-0.62;0.79;-0.78
323;-0.60;0.80;-0.75
324;-0.59;0.81;-0.73
325;-0.57;0.82;-0.70
326;-0.56;0.83;-0.67
327;-0.54;0.84;-0.65
328;-0.53;0.85;-0.62
329;-0.52;0.86;-0.60
330;-0.50;0.87;-0.58
331;-0.48;0.87;-0.55
332;-0.47;0.88;-0.53
333;-0.45;0.89;-0.51
334;-0.44;0.90;-0.49
335;-0.42;0.91;-0.47
336;-0.41;0.91;-0.45
337;-0.39;0.92;-0.42
338;-0.37;0.93;-0.40
339;-0.36;0.93;-0.38
340;-0.34;0.94;-0.36
341;-0.33;0.95;-0.34
342;-0.31;0.95;-0.32
343;-0.29;0.96;-0.31
344;-0.28;0.96;-0.29
345;-0.26;0.97;-0.27
346;-0.24;0.97;-0.25
347;-0.22;0.97;-0.23
348;-0.21;0.98;-0.21
349;-0.19;0.98;-0.19
350;-0.17;0.98;-0.18
351;-0.16;0.99;-0.16
352;-0.14;0.99;-0.14
353;-0.12;0.99;-0.12
354;-0.10;0.99;-0.11
355;-0.09;1.00;-0.09
356;-0.07;1.00;-0.07
357;-0.05;1.00;-0.05
358;-0.03;1.00;-0.03
359;-0.02;1.00;-0.02
360;-0.00;1.00;-0.00
